Customer ID,last_date,recency,frequency,average_invoice_value,rec_rank,rank_freq,rank_monet,rece_tile,freq_tile,mone_tile,category
15749,2011-04-18,235,3,14844.766666666668,3400,4211,1,2,2,1,2_2_1
15098,2011-06-10,182,3,13305.5,3148,1986,2,2,1,1,2_1_1
13687,2010-09-27,438,1,11880.84,4500,603,3,2,1,1,2_1_1
12918,2010-03-23,626,1,10953.5,5087,593,4,2,1,1,2_1_1
18052,2010-05-24,564,1,10877.18,4904,4268,5,2,2,1,2_2_1
17450,2011-12-01,8,51,4799.691176470588,485,1916,6,1,1,1,1_1_1
14091,2010-02-23,654,2,4765.04,5160,10,7,2,1,1,2_1_1
16118,2010-02-25,652,1,4376.25,5153,61,8,2,1,1,2_1_1
16000,2011-12-07,2,3,4131.233333333334,126,148,9,1,1,1,1_1_1
18102,2011-12-09,0,145,4006.807172413793,1,3256,10,1,2,1,1_2_1
14088,2011-11-29,10,16,4002.3,621,149,11,1,1,1,1_1_1
15195,2011-12-07,2,1,3861,127,4561,12,1,2,1,1_2_1
14096,2011-12-05,4,17,3833.2229411764706,292,348,13,1,1,1,1_1_1
14028,2010-06-07,550,3,3465.5,4863,559,14,2,1,1,2_1_1
18251,2011-09-13,87,9,2919.8733333333334,2573,106,15,1,1,1,1_1_1
17511,2011-12-07,2,60,2868.8811666666666,128,876,16,1,1,1,1_1_1
13205,2010-09-22,443,1,2803.2,4519,5316,17,2,2,1,2_2_1
14459,2011-07-07,155,2,2687.8705,2996,1154,18,2,1,1,2_1_1
16684,2011-12-05,4,55,2675.3230909090908,293,371,19,1,1,1,1_1_1
13422,2011-10-06,64,1,2626.3,2219,101,20,1,1,1,1_1_1
14063,2010-09-27,438,9,2523.3555555555554,4501,3210,21,2,2,1,2_2_1
17313,2011-11-08,31,1,2328.84,1503,862,22,1,1,1,1_1_1
16077,2010-03-24,625,1,2300.4,5082,916,23,2,1,1,2_1_1
16754,2010-12-02,372,29,2258.6231034482757,3888,3927,24,2,2,1,2_2_1
17308,2010-11-11,393,2,2255.88,4113,642,25,2,1,1,2_1_1
15838,2011-11-28,11,34,2153.1029411764707,690,2414,26,1,1,1,1_1_1
17305,2010-03-01,648,1,2135.46,5144,3051,27,2,2,1,2_2_1
16749,2010-04-27,591,2,2078.94,4979,4248,28,2,2,1,2_2_1
13935,2010-04-22,596,3,2038.9733333333334,4999,229,29,2,1,1,2_1_1
17846,2011-09-15,85,1,2033.1,2547,172,30,1,1,1,1_1_1
13081,2011-11-28,11,28,2029.9417857142857,691,16,31,1,1,1,1_1_1
15202,2010-10-15,420,3,2000.4966666666667,4338,1538,32,2,1,1,2_1_1
17039,2010-04-14,604,1,1954.99,5029,162,33,2,1,1,2_1_1
15769,2011-12-02,7,46,1926.3591304347826,421,725,34,1,1,1,1_1_1
17940,2011-10-21,49,16,1894.174375,1916,52,35,1,1,1,1_1_1
14887,2011-09-21,79,1,1862,2491,4157,36,1,2,1,1_2_1
16240,2011-11-15,24,2,1859.4,1255,3324,37,1,2,1,1_2_1
13340,2011-10-25,45,12,1841.7133333333334,1853,2956,38,1,2,1,1_2_1
16152,2011-03-16,268,1,1829.04,3575,1215,39,2,1,1,2_1_1
16751,2011-11-09,30,1,1764.72,1465,152,40,1,1,1,1_1_1
16532,2011-11-22,17,5,1751.328,936,19,41,1,1,1,1_1_1
